NyTIMESName,USCensusCountyName,State,FIPS
Delaware,Delaware County,Ohio,39041
Delaware,Delaware County,Oklahoma,40041
Delaware,Delaware County,Pennsylvania,42045
Delta,Delta County,Colorado,8029
Delta,Delta County,Michigan,26041
Delta,Delta County,Texas,48119
Dent,Dent County,Missouri,29065
Denton,Denton County,Texas,48121
Denver,Denver County,Colorado,8031
Des Moines,Des Moines County,Iowa,19057
Deschutes,Deschutes County,Oregon,41017
Desha,Desha County,Arkansas,5041
DeSoto,DeSoto County,Florida,12027
DeSoto,DeSoto County,Mississippi,28033
Deuel,Deuel County,South Dakota,46039
Dewey,Dewey County,Oklahoma,40043
Dewey,Dewey County,South Dakota,46041
DeWitt,DeWitt County,Texas,48123
Dickens,Dickens County,Texas,48125
Dickey,Dickey County,North Dakota,38021
Dickinson,Dickinson County,Iowa,19059
Dickinson,Dickinson County,Kansas,20041
Dickinson,Dickinson County,Michigan,26043
Dickson,Dickson County,Tennessee,47043
Dillingham Census Area,Dillingham Census Area,Alaska,2070
Dillon,Dillon County,South Carolina,45033
Dimmit,Dimmit County,Texas,48127
Dinwiddie,Dinwiddie County,Virginia,51053
Divide,Divide County,North Dakota,38023
Dixie,Dixie County,Florida,12029
Dixon,Dixon County,Nebraska,31051
Dodge,Dodge County,Georgia,13091
Dodge,Dodge County,Minnesota,27039
Dodge,Dodge County,Nebraska,31053
Dodge,Dodge County,Wisconsin,55027
Doniphan,Doniphan County,Kansas,20043
Donley,Donley County,Texas,48129
Dooly,Dooly County,Georgia,13093
Door,Door County,Wisconsin,55029
Dorchester,Dorchester County,Maryland,24019
Dorchester,Dorchester County,South Carolina,45035
Dougherty,Dougherty County,Georgia,13095
Douglas,Douglas County,Colorado,8035
Douglas,Douglas County,Georgia,13097
Douglas,Douglas County,Illinois,17041
Douglas,Douglas County,Kansas,20045
Douglas,Douglas County,Minnesota,27041
Douglas,Douglas County,Missouri,29067
Douglas,Douglas County,Nebraska,31055
Douglas,Douglas County,Nevada,32005
Douglas,Douglas County,Oregon,41019
Douglas,Douglas County,South Dakota,46043
Douglas,Douglas County,Washington,53017
Douglas,Douglas County,Wisconsin,55031
Drew,Drew County,Arkansas,5043
Dubois,Dubois County,Indiana,18037
Dubuque,Dubuque County,Iowa,19061
Duchesne,Duchesne County,Utah,49013
Dukes,Dukes County,Massachusetts,25007
Dunklin,Dunklin County,Missouri,29069
Dunn,Dunn County,North Dakota,38025
Dunn,Dunn County,Wisconsin,55033
DuPage,DuPage County,Illinois,17043
Duplin,Duplin County,North Carolina,37061
Durham,Durham County,North Carolina,37063
Dutchess,Dutchess County,New York,36027
Duval,Duval County,Florida,12031
Duval,Duval County,Texas,48131
Dyer,Dyer County,Tennessee,47045
Eagle,Eagle County,Colorado,8037
Early,Early County,Georgia,13099
East Baton Rouge,East Baton Rouge Parish,Louisiana,22033
East Carroll,East Carroll Parish,Louisiana,22035
East Feliciana,East Feliciana Parish,Louisiana,22037
Eastland,Eastland County,Texas,48133
Eaton,Eaton County,Michigan,26045
Eau Claire,Eau Claire County,Wisconsin,55035
Echols,Echols County,Georgia,13101
Ector,Ector County,Texas,48135
Eddy,Eddy County,New Mexico,35015
Eddy,Eddy County,North Dakota,38027
Edgar,Edgar County,Illinois,17045
Edgecombe,Edgecombe County,North Carolina,37065
Edgefield,Edgefield County,South Carolina,45037
Edmonson,Edmonson County,Kentucky,21061
Edmunds,Edmunds County,South Dakota,46045
Edwards,Edwards County,Illinois,17047
Edwards,Edwards County,Kansas,20047
Effingham,Effingham County,Georgia,13103
Effingham,Effingham County,Illinois,17049
El Dorado,El Dorado County,California,6017
El Paso,El Paso County,Colorado,8041
El Paso,El Paso County,Texas,48141
Elbert,Elbert County,Colorado,8039
Elbert,Elbert County,Georgia,13105
Elk,Elk County,Pennsylvania,42047
Elkhart,Elkhart County,Indiana,18039
Elko,Elko County,Nevada,32007
Elliott,Elliott County,Kentucky,21063
Ellis,Ellis County,Kansas,20051
Ellis,Ellis County,Texas,48139
Ellsworth,Ellsworth County,Kansas,20053
Elmore,Elmore County,Alabama,1051
Elmore,Elmore County,Idaho,16039
Emanuel,Emanuel County,Georgia,13107
Emery,Emery County,Utah,49015
Emmet,Emmet County,Iowa,19063
Emmet,Emmet County,Michigan,26047
Emmons,Emmons County,North Dakota,38029
Emporia city,Emporia city,Virginia,51595
Erath,Erath County,Texas,48143
Erie,Erie County,New York,36029
Erie,Erie County,Ohio,39043
Erie,Erie County,Pennsylvania,42049
Escambia,Escambia County,Alabama,1053
Escambia,Escambia County,Florida,12033
Essex,Essex County,Massachusetts,25009
Essex,Essex County,New Jersey,34013
Essex,Essex County,New York,36031
Essex,Essex County,Vermont,50009
Essex,Essex County,Virginia,51057
Estill,Estill County,Kentucky,21065
Etowah,Etowah County,Alabama,1055
Evangeline,Evangeline Parish,Louisiana,22039
Evans,Evans County,Georgia,13109
Fairbanks North Star Borough,Fairbanks North Star Borough,Alaska,2090
Fairfax,Fairfax County,Virginia,51059
Fairfax city,Fairfax city,Virginia,51600
Fairfield,Fairfield County,Connecticut,9001
Fairfield,Fairfield County,Ohio,39045
Fairfield,Fairfield County,South Carolina,45039
Fall River,Fall River County,South Dakota,46047
Falls,Falls County,Texas,48145
Falls Church city,Falls Church city,Virginia,51610
Fannin,Fannin County,Georgia,13111
Fannin,Fannin County,Texas,48147
Faribault,Faribault County,Minnesota,27043
Faulk,Faulk County,South Dakota,46049
Faulkner,Faulkner County,Arkansas,5045
Fauquier,Fauquier County,Virginia,51061
Fayette,Fayette County,Alabama,1057
Fayette,Fayette County,Georgia,13113
Fayette,Fayette County,Illinois,17051
Fayette,Fayette County,Indiana,18041
Fayette,Fayette County,Iowa,19065
Fayette,Fayette County,Kentucky,21067
Fayette,Fayette County,Ohio,39047
Fayette,Fayette County,Pennsylvania,42051
Fayette,Fayette County,Tennessee,47047
Fayette,Fayette County,Texas,48149
Fayette,Fayette County,West Virginia,54019
Fentress,Fentress County,Tennessee,47049
Ferry,Ferry County,Washington,53019
Fillmore,Fillmore County,Minnesota,27045
Fillmore,Fillmore County,Nebraska,31059
Finney,Finney County,Kansas,20055
Fisher,Fisher County,Texas,48151
Flagler,Flagler County,Florida,12035
Flathead,Flathead County,Montana,30029
Fleming,Fleming County,Kentucky,21069
Florence,Florence County,South Carolina,45041
Florence,Florence County,Wisconsin,55037
Floyd,Floyd County,Georgia,13115
Floyd,Floyd County,Indiana,18043
Floyd,Floyd County,Iowa,19067
Floyd,Floyd County,Kentucky,21071
Floyd,Floyd County,Texas,48153
Floyd,Floyd County,Virginia,51063
Fluvanna,Fluvanna County,Virginia,51065
Fond du Lac,Fond du Lac County,Wisconsin,55039
Ford,Ford County,Illinois,17053
Ford,Ford County,Kansas,20057
Forest,Forest County,Pennsylvania,42053
Forest,Forest County,Wisconsin,55041
Forrest,Forrest County,Mississippi,28035
Forsyth,Forsyth County,Georgia,13117
Forsyth,Forsyth County,North Carolina,37067
Fort Bend,Fort Bend County,Texas,48157
Foster,Foster County,North Dakota,38031
Fountain,Fountain County,Indiana,18045
Franklin,Franklin County,Alabama,1059
Franklin,Franklin County,Arkansas,5047
Franklin,Franklin County,Florida,12037
Franklin,Franklin County,Georgia,13119
Franklin,Franklin County,Idaho,16041
Franklin,Franklin County,Illinois,17055
Franklin,Franklin County,Indiana,18047
Franklin,Franklin County,Iowa,19069
Franklin,Franklin County,Kansas,20059
Franklin,Franklin County,Kentucky,21073
Franklin,Franklin County,Maine,23007
Franklin,Franklin County,Massachusetts,25011
Franklin,Franklin County,Mississippi,28037
Franklin,Franklin County,Missouri,29071
Franklin,Franklin County,Nebraska,31061
Franklin,Franklin County,New York,36033
Franklin,Franklin County,North Carolina,37069
Franklin,Franklin County,Ohio,39049
Franklin,Franklin County,Pennsylvania,42055
Franklin,Franklin County,Tennessee,47051
Franklin,Franklin County,Texas,48159
Franklin,Franklin County,Vermont,50011
Franklin,Franklin County,Virginia,51067
Franklin,Franklin County,Washington,53021
Franklin,Franklin Parish,Louisiana,22041
Franklin city,Franklin city,Virginia,51620
Frederick,Frederick County,Maryland,24021
Frederick,Frederick County,Virginia,51069
Fredericksburg city,Fredericksburg city,Virginia,51630
Freeborn,Freeborn County,Minnesota,27047
Freestone,Freestone County,Texas,48161
Fremont,Fremont County,Colorado,8043
Fremont,Fremont County,Idaho,16043
Fremont,Fremont County,Iowa,19071
Fremont,Fremont County,Wyoming,56013
Fresno,Fresno County,California,6019
Frio,Frio County,Texas,48163
Frontier,Frontier County,Nebraska,31063
Fulton,Fulton County,Arkansas,5049
Fulton,Fulton County,Georgia,13121
Fulton,Fulton County,Illinois,17057
Fulton,Fulton County,Indiana,18049
Fulton,Fulton County,Kentucky,21075
Fulton,Fulton County,New York,36035
Fulton,Fulton County,Ohio,39051
Fulton,Fulton County,Pennsylvania,42057
Furnas,Furnas County,Nebraska,31065
Gadsden,Gadsden County,Florida,12039
Gage,Gage County,Nebraska,31067
Gaines,Gaines County,Texas,48165
Galax city,Galax city,Virginia,51640
Gallatin,Gallatin County,Illinois,17059
Gallatin,Gallatin County,Kentucky,21077
Gallatin,Gallatin County,Montana,30031
Gallia,Gallia County,Ohio,39053
Galveston,Galveston County,Texas,48167
Garden,Garden County,Nebraska,31069
Garfield,Garfield County,Colorado,8045
Garfield,Garfield County,Oklahoma,40047
Garfield,Garfield County,Utah,49017
Garland,Garland County,Arkansas,5051
Garrard,Garrard County,Kentucky,21079
Garrett,Garrett County,Maryland,24023
Garvin,Garvin County,Oklahoma,40049
Garza,Garza County,Texas,48169
Gasconade,Gasconade County,Missouri,29073
Gaston,Gaston County,North Carolina,37071
Gates,Gates County,North Carolina,37073
Geary,Geary County,Kansas,20061
Geauga,Geauga County,Ohio,39055
Gem,Gem County,Idaho,16045
Genesee,Genesee County,Michigan,26049
Genesee,Genesee County,New York,36037
Geneva,Geneva County,Alabama,1061
Gentry,Gentry County,Missouri,29075
George,George County,Mississippi,28039
Georgetown,Georgetown County,South Carolina,45043
Gibson,Gibson County,Indiana,18051
Gibson,Gibson County,Tennessee,47053
Gila,Gila County,Arizona,4007
Gilchrist,Gilchrist County,Florida,12041
Giles,Giles County,Tennessee,47055
Giles,Giles County,Virginia,51071
Gillespie,Gillespie County,Texas,48171
Gilmer,Gilmer County,Georgia,13123
Gilmer,Gilmer County,West Virginia,54021
Gilpin,Gilpin County,Colorado,8047
Glacier,Glacier County,Montana,30035
Glades,Glades County,Florida,12043
Gladwin,Gladwin County,Michigan,26051
Glascock,Glascock County,Georgia,13125
Glasscock,Glasscock County,Texas,48173
Glenn,Glenn County,California,6021
Gloucester,Gloucester County,New Jersey,34015
Gloucester,Gloucester County,Virginia,51073
Glynn,Glynn County,Georgia,13127
Gogebic,Gogebic County,Michigan,26053
Golden Valley,Golden Valley County,Montana,30037
Goliad,Goliad County,Texas,48175
Gonzales,Gonzales County,Texas,48177
Goochland,Goochland County,Virginia,51075
Goodhue,Goodhue County,Minnesota,27049
Gooding,Gooding County,Idaho,16047
Gordon,Gordon County,Georgia,13129
Goshen,Goshen County,Wyoming,56015
Gosper,Gosper County,Nebraska,31073
Gove,Gove County,Kansas,20063
Grady,Grady County,Georgia,13131
Grady,Grady County,Oklahoma,40051
Grafton,Grafton County,New Hampshire,33009
Graham,Graham County,Arizona,4009
Graham,Graham County,North Carolina,37075
Grainger,Grainger County,Tennessee,47057
Grand,Grand County,Colorado,8049
Grand,Grand County,Utah,49019
Grand Forks,Grand Forks County,North Dakota,38035
Grand Isle,Grand Isle County,Vermont,50013
Grand Traverse,Grand Traverse County,Michigan,26055
Grant,Grant County,Arkansas,5053
Grant,Grant County,Indiana,18053
Grant,Grant County,Kansas,20067
Grant,Grant County,Kentucky,21081
Grant,Grant County,Minnesota,27051
Grant,Grant County,New Mexico,35017
Grant,Grant County,North Dakota,38037
Grant,Grant County,Oklahoma,40053
Grant,Grant County,Oregon,41023
Grant,Grant County,South Dakota,46051
Grant,Grant County,Washington,53025
Grant,Grant County,West Virginia,54023
Grant,Grant County,Wisconsin,55043
Grant,Grant Parish,Louisiana,22043
Granville,Granville County,North Carolina,37077
Gratiot,Gratiot County,Michigan,26057
Graves,Graves County,Kentucky,21083
Gray,Gray County,Kansas,20069
Gray,Gray County,Texas,48179
Grays Harbor,Grays Harbor County,Washington,53027
Grayson,Grayson County,Kentucky,21085
Grayson,Grayson County,Texas,48181
Grayson,Grayson County,Virginia,51077
Greeley,Greeley County,Nebraska,31077
Green,Green County,Kentucky,21087
Green,Green County,Wisconsin,55045
Green Lake,Green Lake County,Wisconsin,55047
Greenbrier,Greenbrier County,West Virginia,54025
Greene,Greene County,Alabama,1063
Greene,Greene County,Arkansas,5055
Greene,Greene County,Georgia,13133
Greene,Greene County,Illinois,17061
Greene,Greene County,Indiana,18055
Greene,Greene County,Iowa,19073
Greene,Greene County,Mississippi,28041
Greene,Greene County,Missouri,29077
Greene,Greene County,New York,36039
Greene,Greene County,North Carolina,37079
Greene,Greene County,Ohio,39057
Greene,Greene County,Pennsylvania,42059
Greene,Greene County,Tennessee,47059
Greene,Greene County,Virginia,51079
Greenlee,Greenlee County,Arizona,4011
Greensville,Greensville County,Virginia,51081
Greenup,Greenup County,Kentucky,21089
Greenville,Greenville County,South Carolina,45045
Greenwood,Greenwood County,Kansas,20073
Greenwood,Greenwood County,South Carolina,45047
Greer,Greer County,Oklahoma,40055
Gregg,Gregg County,Texas,48183
Gregory,Gregory County,South Dakota,46053
Grenada,Grenada County,Mississippi,28043
Griggs,Griggs County,North Dakota,38039
Grimes,Grimes County,Texas,48185
Grundy,Grundy County,Illinois,17063
Grundy,Grundy County,Iowa,19075
Grundy,Grundy County,Missouri,29079
Grundy,Grundy County,Tennessee,47061
Guadalupe,Guadalupe County,New Mexico,35019
Guadalupe,Guadalupe County,Texas,48187
Guernsey,Guernsey County,Ohio,39059
Guilford,Guilford County,North Carolina,37081
Gulf,Gulf County,Florida,12045
Gunnison,Gunnison County,Colorado,8051
Guthrie,Guthrie County,Iowa,19077
Gwinnett,Gwinnett County,Georgia,13135
Habersham,Habersham County,Georgia,13137
Hale,Hale County,Alabama,1065
Hale,Hale County,Texas,48189
Halifax,Halifax County,North Carolina,37083
Halifax,Halifax County,Virginia,51083
Hall,Hall County,Georgia,13139
Hall,Hall County,Nebraska,31079
Hall,Hall County,Texas,48191
Hamblen,Hamblen County,Tennessee,47063
Hamilton,Hamilton County,Florida,12047
Hamilton,Hamilton County,Illinois,17065
Hamilton,Hamilton County,Indiana,18057
Hamilton,Hamilton County,Iowa,19079
Hamilton,Hamilton County,Kansas,20075
Hamilton,Hamilton County,Nebraska,31081
Hamilton,Hamilton County,New York,36041
Hamilton,Hamilton County,Ohio,39061
Hamilton,Hamilton County,Tennessee,47065
Hamilton,Hamilton County,Texas,48193
Hamlin,Hamlin County,South Dakota,46057
Hampden,Hampden County,Massachusetts,25013
Hampshire,Hampshire County,Massachusetts,25015
Hampshire,Hampshire County,West Virginia,54027
Hampton,Hampton County,South Carolina,45049
Hampton city,Hampton city,Virginia,51650
Hancock,Hancock County,Georgia,13141
Hancock,Hancock County,Illinois,17067
Hancock,Hancock County,Indiana,18059
Hancock,Hancock County,Iowa,19081
Hancock,Hancock County,Kentucky,21091
Hancock,Hancock County,Maine,23009
Hancock,Hancock County,Mississippi,28045
Hancock,Hancock County,Ohio,39063
Hancock,Hancock County,Tennessee,47067
Hancock,Hancock County,West Virginia,54029
Hand,Hand County,South Dakota,46059
Hanover,Hanover County,Virginia,51085
Hansford,Hansford County,Texas,48195
Haralson,Haralson County,Georgia,13143
Hardee,Hardee County,Florida,12049
Hardeman,Hardeman County,Tennessee,47069
Hardeman,Hardeman County,Texas,48197
Hardin,Hardin County,Illinois,17069
Hardin,Hardin County,Iowa,19083
Hardin,Hardin County,Kentucky,21093
Hardin,Hardin County,Ohio,39065
Hardin,Hardin County,Tennessee,47071
Hardin,Hardin County,Texas,48199
Harding,Harding County,New Mexico,35021
Hardy,Hardy County,West Virginia,54031
Harford,Harford County,Maryland,24025
Harlan,Harlan County,Kentucky,21095
Harnett,Harnett County,North Carolina,37085
Harney,Harney County,Oregon,41025
Harper,Harper County,Kansas,20077
Harper,Harper County,Oklahoma,40059
Harris,Harris County,Georgia,13145
Harris,Harris County,Texas,48201
Harrison,Harrison County,Indiana,18061
Harrison,Harrison County,Iowa,19085
Harrison,Harrison County,Kentucky,21097
Harrison,Harrison County,Mississippi,28047
Harrison,Harrison County,Missouri,29081
Harrison,Harrison County,Ohio,39067
Harrison,Harrison County,Texas,48203
Harrison,Harrison County,West Virginia,54033
Harrisonburg city,Harrisonburg city,Virginia,51660
Hart,Hart County,Georgia,13147
Hart,Hart County,Kentucky,21099
Hartford,Hartford County,Connecticut,9003
Hartley,Hartley County,Texas,48205
Harvey,Harvey County,Kansas,20079
Haskell,Haskell County,Kansas,20081
Haskell,Haskell County,Oklahoma,40061
Haskell,Haskell County,Texas,48207
Hawaii,Hawaii County,Hawaii,15001
Hawkins,Hawkins County,Tennessee,47073
Hays,Hays County,Texas,48209
Haywood,Haywood County,North Carolina,37087
Haywood,Haywood County,Tennessee,47075
Heard,Heard County,Georgia,13149
Hemphill,Hemphill County,Texas,48211
Hempstead,Hempstead County,Arkansas,5057
Henderson,Henderson County,Illinois,17071
Henderson,Henderson County,Kentucky,21101
Henderson,Henderson County,North Carolina,37089
Henderson,Henderson County,Tennessee,47077
Henderson,Henderson County,Texas,48213
Hendricks,Hendricks County,Indiana,18063
Hendry,Hendry County,Florida,12051
Hennepin,Hennepin County,Minnesota,27053
Henrico,Henrico County,Virginia,51087
Henry,Henry County,Alabama,1067
Henry,Henry County,Georgia,13151
Henry,Henry County,Illinois,17073
Henry,Henry County,Indiana,18065
Henry,Henry County,Iowa,19087
Henry,Henry County,Kentucky,21103
Henry,Henry County,Missouri,29083
Henry,Henry County,Ohio,39069
Henry,Henry County,Tennessee,47079
Henry,Henry County,Virginia,51089
Herkimer,Herkimer County,New York,36043
Hernando,Hernando County,Florida,12053
Hertford,Hertford County,North Carolina,37091
Hickman,Hickman County,Kentucky,21105
Hickman,Hickman County,Tennessee,47081
Hidalgo,Hidalgo County,New Mexico,35023
Hidalgo,Hidalgo County,Texas,48215
Highland,Highland County,Ohio,39071
Highland,Highland County,Virginia,51091
Highlands,Highlands County,Florida,12055
Hill,Hill County,Montana,30041
Hill,Hill County,Texas,48217
Hillsborough,Hillsborough County,Florida,12057
Hillsborough,Hillsborough County,New Hampshire,33011
Hillsdale,Hillsdale County,Michigan,26059
Hinds,Hinds County,Mississippi,28049
Hinsdale,Hinsdale County,Colorado,8053
Hitchcock,Hitchcock County,Nebraska,31087
Hocking,Hocking County,Ohio,39073
Hockley,Hockley County,Texas,48219
Hodgeman,Hodgeman County,Kansas,20083
Hoke,Hoke County,North Carolina,37093
Holmes,Holmes County,Florida,12059
Holmes,Holmes County,Mississippi,28051
Holmes,Holmes County,Ohio,39075
Holt,Holt County,Missouri,29087
Holt,Holt County,Nebraska,31089
Honolulu,Honolulu County,Hawaii,15003
Hood,Hood County,Texas,48221
Hood River,Hood River County,Oregon,41027
Hopewell city,Hopewell city,Virginia,51670
Hopkins,Hopkins County,Kentucky,21107
Hopkins,Hopkins County,Texas,48223
Horry,Horry County,South Carolina,45051
Hot Spring,Hot Spring County,Arkansas,5059
Hot Springs,Hot Springs County,Wyoming,56017
Houghton,Houghton County,Michigan,26061
Houston,Houston County,Alabama,1069
Houston,Houston County,Georgia,13153
Houston,Houston County,Minnesota,27055
Houston,Houston County,Tennessee,47083
Houston,Houston County,Texas,48225
Howard,Howard County,Arkansas,5061
Howard,Howard County,Indiana,18067
Howard,Howard County,Iowa,19089
Howard,Howard County,Maryland,24027
Howard,Howard County,Missouri,29089
Howard,Howard County,Nebraska,31093
Howard,Howard County,Texas,48227
Howell,Howell County,Missouri,29091
Hubbard,Hubbard County,Minnesota,27057
Hudson,Hudson County,New Jersey,34017
Hudspeth,Hudspeth County,Texas,48229
Huerfano,Huerfano County,Colorado,8055
Hughes,Hughes County,Oklahoma,40063
Hughes,Hughes County,South Dakota,46065
Humboldt,Humboldt County,California,6023
Humboldt,Humboldt County,Iowa,19091
Humboldt,Humboldt County,Nevada,32013
Humphreys,Humphreys County,Mississippi,28053
Humphreys,Humphreys County,Tennessee,47085
Hunt,Hunt County,Texas,48231
Hunterdon,Hunterdon County,New Jersey,34019
Huntingdon,Huntingdon County,Pennsylvania,42061
Huntington,Huntington County,Indiana,18069
Huron,Huron County,Michigan,26063
Huron,Huron County,Ohio,39077
Hutchinson,Hutchinson County,South Dakota,46067
Hutchinson,Hutchinson County,Texas,48233
Hyde,Hyde County,North Carolina,37095
Hyde,Hyde County,South Dakota,46069
Iberia,Iberia Parish,Louisiana,22045
Iberville,Iberville Parish,Louisiana,22047
Ida,Ida County,Iowa,19093
Idaho,Idaho County,Idaho,16049
Imperial,Imperial County,California,6025
Independence,Independence County,Arkansas,5063
Indian River,Indian River County,Florida,12061
Indiana,Indiana County,Pennsylvania,42063
Ingham,Ingham County,Michigan,26065
Inyo,Inyo County,California,6027
Ionia,Ionia County,Michigan,26067
Iosco,Iosco County,Michigan,26069
Iowa,Iowa County,Iowa,19095
Iowa,Iowa County,Wisconsin,55049
Iredell,Iredell County,North Carolina,37097
Irion,Irion County,Texas,48235
Iron,Iron County,Michigan,26071
Iron,Iron County,Missouri,29093
Iron,Iron County,Utah,49021
Iron,Iron County,Wisconsin,55051
Iroquois,Iroquois County,Illinois,17075
Irwin,Irwin County,Georgia,13155
Isabella,Isabella County,Michigan,26073
Isanti,Isanti County,Minnesota,27059
Island,Island County,Washington,53029
Isle of Wight,Isle of Wight County,Virginia,51093
Itasca,Itasca County,Minnesota,27061
Itawamba,Itawamba County,Mississippi,28057
Izard,Izard County,Arkansas,5065
Jack,Jack County,Texas,48237
Jackson,Jackson County,Alabama,1071
Jackson,Jackson County,Arkansas,5067
Jackson,Jackson County,Florida,12063
Jackson,Jackson County,Georgia,13157
Jackson,Jackson County,Illinois,17077
Jackson,Jackson County,Indiana,18071
Jackson,Jackson County,Iowa,19097
Jackson,Jackson County,Kansas,20085
Jackson,Jackson County,Kentucky,21109
Jackson,Jackson County,Michigan,26075
Jackson,Jackson County,Minnesota,27063
Jackson,Jackson County,Mississippi,28059
Jackson,Jackson County,Missouri,29095
Jackson,Jackson County,North Carolina,37099
Jackson,Jackson County,Ohio,39079
Jackson,Jackson County,Oklahoma,40065
Jackson,Jackson County,Oregon,41029
Jackson,Jackson County,South Dakota,46071
Jackson,Jackson County,Tennessee,47087
Jackson,Jackson County,Texas,48239
Jackson,Jackson County,West Virginia,54035
Jackson,Jackson County,Wisconsin,55053
Jackson,Jackson Parish,Louisiana,22049
James City,James City County,Virginia,51095
Jasper,Jasper County,Georgia,13159
Jasper,Jasper County,Illinois,17079
Jasper,Jasper County,Indiana,18073
Jasper,Jasper County,Iowa,19099
Jasper,Jasper County,Mississippi,28061
Jasper,Jasper County,Missouri,29097
Jasper,Jasper County,South Carolina,45053
Jasper,Jasper County,Texas,48241
Jay,Jay County,Indiana,18075
Jeff Davis,Jeff Davis County,Georgia,13161
Jefferson,Jefferson County,Alabama,1073
Jefferson,Jefferson County,Arkansas,5069
Jefferson,Jefferson County,Colorado,8059
Jefferson,Jefferson County,Florida,12065
Jefferson,Jefferson County,Georgia,13163
Jefferson,Jefferson County,Idaho,16051
Jefferson,Jefferson County,Illinois,17081
Jefferson,Jefferson County,Indiana,18077
Jefferson,Jefferson County,Iowa,19101
Jefferson,Jefferson County,Kansas,20087
Jefferson,Jefferson County,Kentucky,21111
Jefferson,Jefferson County,Mississippi,28063
Jefferson,Jefferson County,Missouri,29099
Jefferson,Jefferson County,Montana,30043
Jefferson,Jefferson County,Nebraska,31095
Jefferson,Jefferson County,New York,36045
Jefferson,Jefferson County,Ohio,39081
Jefferson,Jefferson County,Oklahoma,40067
Jefferson,Jefferson County,Oregon,41031
Jefferson,Jefferson County,Pennsylvania,42065
Jefferson,Jefferson County,Tennessee,47089
Jefferson,Jefferson County,Texas,48245
Jefferson,Jefferson County,Washington,53031
Jefferson,Jefferson County,West Virginia,54037
Jefferson,Jefferson County,Wisconsin,55055
Jefferson,Jefferson Parish,Louisiana,22051
Jefferson Davis,Jefferson Davis County,Mississippi,28065
Jefferson Davis,Jefferson Davis Parish,Louisiana,22053
Jenkins,Jenkins County,Georgia,13165
Jennings,Jennings County,Indiana,18079
Jerauld,Jerauld County,South Dakota,46073
Jerome,Jerome County,Idaho,16053
Jersey,Jersey County,Illinois,17083
Jessamine,Jessamine County,Kentucky,21113
Jewell,Jewell County,Kansas,20089
Jim Hogg,Jim Hogg County,Texas,48247
Jim Wells,Jim Wells County,Texas,48249
Jo Daviess,Jo Daviess County,Illinois,17085
Johnson,Johnson County,Arkansas,5071
Johnson,Johnson County,Georgia,13167
Johnson,Johnson County,Illinois,17087
Johnson,Johnson County,Indiana,18081
Johnson,Johnson County,Iowa,19103
Johnson,Johnson County,Kansas,20091
Johnson,Johnson County,Kentucky,21115
Johnson,Johnson County,Missouri,29101
Johnson,Johnson County,Nebraska,31097
Johnson,Johnson County,Tennessee,47091
Johnson,Johnson County,Texas,48251
Johnson,Johnson County,Wyoming,56019
Johnston,Johnston County,North Carolina,37101
Johnston,Johnston County,Oklahoma,40069
Jones,Jones County,Georgia,13169
Jones,Jones County,Iowa,19105
Jones,Jones County,Mississippi,28067
Jones,Jones County,North Carolina,37103
Jones,Jones County,Texas,48253
Josephine,Josephine County,Oregon,41033
Juab,Juab County,Utah,49023
Juneau,Juneau County,Wisconsin,55057
Juneau City and Borough,Juneau City and Borough,Alaska,2110
Juniata,Juniata County,Pennsylvania,42067
Kalamazoo,Kalamazoo County,Michigan,26077
Kalkaska,Kalkaska County,Michigan,26079
Kanabec,Kanabec County,Minnesota,27065
Kanawha,Kanawha County,West Virginia,54039
Kandiyohi,Kandiyohi County,Minnesota,27067
Kane,Kane County,Illinois,17089
Kane,Kane County,Utah,49025
Kankakee,Kankakee County,Illinois,17091
Karnes,Karnes County,Texas,48255
Kauai,Kauai County,Hawaii,15007
Kaufman,Kaufman County,Texas,48257
Kay,Kay County,Oklahoma,40071
Kearney,Kearney County,Nebraska,31099
Kearny,Kearny County,Kansas,20093
Keith,Keith County,Nebraska,31101
Kemper,Kemper County,Mississippi,28069
Kenai Peninsula Borough,Kenai Peninsula Borough,Alaska,2122
Kendall,Kendall County,Illinois,17093
Kendall,Kendall County,Texas,48259
Kennebec,Kennebec County,Maine,23011
Kenosha,Kenosha County,Wisconsin,55059
Kent,Kent County,Delaware,10001
Kent,Kent County,Maryland,24029
Kent,Kent County,Michigan,26081
Kent,Kent County,Rhode Island,44003
Kenton,Kenton County,Kentucky,21117
Keokuk,Keokuk County,Iowa,19107
Kern,Kern County,California,6029
Kerr,Kerr County,Texas,48265
Kershaw,Kershaw County,South Carolina,45055
Ketchikan Gateway Borough,Ketchikan Gateway Borough,Alaska,2130
Kewaunee,Kewaunee County,Wisconsin,55061
Kimball,Kimball County,Nebraska,31105
Kimble,Kimble County,Texas,48267
King,King County,Washington,53033
King and Queen,King and Queen County,Virginia,51097
King George,King George County,Virginia,51099
King William,King William County,Virginia,51101
Kingfisher,Kingfisher County,Oklahoma,40073
Kings,Kings County,California,6031
Kingsbury,Kingsbury County,South Dakota,46077
Kinney,Kinney County,Texas,48271
Kiowa,Kiowa County,Kansas,20097
Kiowa,Kiowa County,Oklahoma,40075
Kit Carson,Kit Carson County,Colorado,8063
Kitsap,Kitsap County,Washington,53035
Kittitas,Kittitas County,Washington,53037
Kittson,Kittson County,Minnesota,27069
Klamath,Klamath County,Oregon,41035
Kleberg,Kleberg County,Texas,48273
